2017-06-14 09:41:58,450 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 09:41:58,451 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\contract\src\test\resources
2017-06-14 09:41:58,490 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 09:41:58,491 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\controller\src\main\resources
2017-06-14 09:41:58,493 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 09:41:58,494 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\controller\src\test\resources
2017-06-14 09:41:58,542 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 09:41:58,543 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\view\src\main\resources
2017-06-14 09:41:58,545 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 09:41:58,546 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\view\src\test\resources
2017-06-14 09:41:58,600 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for fr.exia:model:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-06-14 09:41:58,611 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 09:41:58,612 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\main\src\main\resources
2017-06-14 09:41:58,613 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 09:41:58,614 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\main\src\test\resources
2017-06-14 09:42:15,064 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 09:42:15,065 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\main\src\main\resources
2017-06-14 09:42:15,067 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 09:42:15,067 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\main\src\test\resources
